committee,lawmaker,role
house-special-select-judicial-standards-nominations-committee,"Sullivan, Katie",member
house-special-select-judicial-standards-nominations-committee,"Seekins-Crowe, Kerri",chair
house-special-select-judicial-standards-nominations-committee,"Regier, Amy",member
joint-natural-resources,"Morigeau, Shane",member
joint-natural-resources,"Flowers, Pat",member
joint-natural-resources,"Cuffe, Mike",member
joint-natural-resources,"Galt, Wylie",chair
joint-natural-resources,"Curdy, Willis",member
joint-natural-resources,"Gillespie, Bruce ""Butch""",member
joint-natural-resources,"Harvey, Derek",member
joint-natural-resources,"Noland, Mark",member
joint-natural-resources,"Usher, Barry",member
joint-natural-resources,"Vinton, Sue",member
joint-natural-resources,"Gregg, Randyn",member
joint-natural-resources,"Byrne, Ed",member
joint-natural-resources,"Parry, Gary",member
joint-natural-resources,"Hinkle, Caleb",member
joint-natural-resources,"Zolnikov, Daniel",member
joint-natural-resources,"Seckinger, Joshua",member
joint-natural-resources,"Hinkle, Jedediah",member
joint-natural-resources,"Fielder, Paul",member
joint-natural-resources,"Schubert, Lukas",member
joint-natural-resources,"Marler, Marilyn",member
joint-natural-resources,"Cohenour, Jill",member
joint-natural-resources,"Maness, Shannon",member
joint-natural-resources,"Isaly, Jamie",member
joint-natural-resources,"Karlen, Jonathan",member
joint-natural-resources,"France, Tom",member
joint-appropriations-subcommittee-sections-f-b,"Boldman, Ellie",member
joint-appropriations-subcommittee-sections-f-b,"Vinton, Mike",member
joint-appropriations-subcommittee-sections-f-b,"Fitzpatrick, John",chair
joint-appropriations-subcommittee-sections-f-b,"Rosenzweig, Scott",member
joint-appropriations-subcommittee-sections-f-b,"Esp, John",vice-chair
joint-appropriations-subcommittee-sections-f-b,"Tuss, Paul",member
joint-appropriations-subcommittee-sections-f-b,"Pope, Christopher",member
joint-appropriations-subcommittee-sections-f-b,"Fox, Mike",member
joint-appropriations-subcommittee-sections-f-b,"Mercer, Bill",member
joint-appropriations-subcommittee-sections-f-b,"Caferro, Mary",member
joint-appropriations-subcommittee-sections-f-b,"Lenz, Dennis",member
joint-appropriations-subcommittee-sections-f-b,"Kerr-Carpenter, Emma",member
joint-appropriations-subcommittee-sections-f-b,"Kassmier, Josh",member
joint-appropriations-subcommittee-sections-f-b,"Tempel, Russ",member
joint-appropriations-subcommittee-sections-f-b,"Gillette, Jane",member
joint-appropriations-subcommittee-sections-f-b,"Glimm, Carl",member
joint-appropriations-subcommittee-sections-f-e,"Esp, John",member
joint-appropriations-subcommittee-sections-f-e,"Rosenzweig, Scott",member
joint-appropriations-subcommittee-sections-f-e,"Tuss, Paul",member
joint-appropriations-subcommittee-sections-f-e,"Fuller, John",member
joint-appropriations-subcommittee-sections-f-e,"Keogh, Connie",member
joint-appropriations-subcommittee-sections-f-e,"Bedey, David",member
joint-appropriations-subcommittee-sections-f-e,"Vinton, Mike",member
joint-appropriations-subcommittee-sections-f-e,"Regier, Matt",member
joint-appropriations-subcommittee-sections-f-e,"Barker, Brad",member
joint-appropriations-subcommittee-sections-f-e,"Matthews, Eric",member
joint-appropriations-subcommittee-sections-f-e,"Boldman, Ellie",member
joint-appropriations-subcommittee-sections-f-e,"Jones, Llew",member
joint-appropriations-subcommittee-sections-f-e,"Fitzpatrick, John",chair
joint-appropriations-subcommittee-sections-f-e,"Kassmier, Josh",member
joint-appropriations-subcommittee-sections-f-e,"Windy Boy, Jonathan",member
joint-appropriations-subcommittee-sections-f-a,"Tezak, Tony",member
joint-appropriations-subcommittee-sections-f-a,"Walsh, Ken",member
joint-appropriations-subcommittee-sections-f-a,"Harvey, Derek",member
joint-appropriations-subcommittee-sections-f-a,"Boldman, Ellie",member
joint-appropriations-subcommittee-sections-f-a,"Ellsworth, Jason",member
joint-appropriations-subcommittee-sections-f-a,"Kassmier, Josh",member
joint-appropriations-subcommittee-sections-f-a,"Tuss, Paul",member
joint-appropriations-subcommittee-sections-f-a,"Falk, Terry",member
joint-appropriations-subcommittee-sections-f-a,"Vinton, Mike",member
joint-appropriations-subcommittee-sections-f-a,"Flowers, Pat",member
joint-appropriations-subcommittee-sections-f-a,"Fitzpatrick, John",chair
joint-appropriations-subcommittee-sections-f-a,"Rosenzweig, Scott",member
joint-appropriations-subcommittee-sections-f-a,"Mandeville, Forrest",member
joint-appropriations-subcommittee-sections-f-a,"Muszkiewicz, Luke",member
joint-appropriations-subcommittee-sections-f-a,"Esp, John",vice-chair
joint-appropriations-subcommittee-sections-f-c,"Tuss, Paul",member
joint-appropriations-subcommittee-sections-f-c,"Schillinger, Jerry",member
joint-appropriations-subcommittee-sections-f-c,"Kassmier, Josh",member
joint-appropriations-subcommittee-sections-f-c,"Boldman, Ellie",member
joint-appropriations-subcommittee-sections-f-c,"Esp, John",vice-chair
joint-appropriations-subcommittee-sections-f-c,"Bogner, Kenneth",member
joint-appropriations-subcommittee-sections-f-c,"Ellis, Janet",member
joint-appropriations-subcommittee-sections-f-c,"Albus, Eric",member
joint-appropriations-subcommittee-sections-f-c,"Rosenzweig, Scott",member
joint-appropriations-subcommittee-sections-f-c,"Fitzpatrick, John",chair
joint-appropriations-subcommittee-sections-f-c,"Powers, Debo",member
joint-appropriations-subcommittee-sections-f-c,"Vinton, Mike",member
joint-appropriations-subcommittee-sections-f-c,"Cuffe, Mike",member
